VERTEX = 146
0.0 0.0 0.0
252.258 0.0 0.0
243.662 0.0 65.2891
218.462 0.0 126.129
178.373 0.0 178.373
126.129 0.0 218.462
65.2891 0.0 243.662
1.90449e-005 0.0 252.258
-65.2891 0.0 243.662
-126.129 0.0 218.462
-178.373 0.0 178.373
-218.462 0.0 126.129
-243.662 0.0 65.2892
-252.258 0.0 9.82328e-005
-243.662 0.0 -65.289
-218.462 0.0 -126.129
-178.373 0.0 -178.373
-126.129 0.0 -218.462
-65.2892 0.0 -243.662
-0.000117278 0.0 -252.258
65.289 0.0 -243.662
126.129 0.0 -218.462
178.373 0.0 -178.373
218.461 0.0 -126.129
243.662 0.0 -65.2893
201.806 72.7008 0.0
194.93 72.7008 52.2313
174.769 72.7008 100.903
142.699 72.7008 142.699
100.903 72.7008 174.769
52.2313 72.7008 194.93
1.52359e-005 72.7008 201.806
-52.2313 72.7008 194.93
-100.903 72.7008 174.769
-142.698 72.7008 142.699
-174.769 72.7008 100.903
-194.93 72.7008 52.2313
-201.806 72.7008 7.85862e-005
-194.93 72.7008 -52.2312
-174.769 72.7008 -100.903
-142.699 72.7008 -142.698
-100.903 72.7008 -174.769
-52.2314 72.7008 -194.93
-9.38222e-005 72.7008 -201.806
52.2312 72.7008 -194.93
100.903 72.7008 -174.769
142.698 72.7008 -142.699
174.769 72.7008 -100.903
194.93 72.7008 -52.2314
151.355 145.402 0.0
146.197 145.402 39.1735
131.077 145.402 75.6773
107.024 145.402 107.024
75.6773 145.402 131.077
39.1735 145.402 146.197
1.1427e-005 145.402 151.355
-39.1734 145.402 146.197
-75.6773 145.402 131.077
-107.024 145.402 107.024
-131.077 145.402 75.6774
-146.197 145.402 39.1735
-151.355 145.402 5.89397e-005
-146.197 145.402 -39.1734
-131.077 145.402 -75.6772
-107.024 145.402 -107.024
-75.6774 145.402 -131.077
-39.1735 145.402 -146.197
-7.03666e-005 145.402 -151.355
39.1734 145.402 -146.197
75.6772 145.402 -131.077
107.024 145.402 -107.024
131.077 145.402 -75.6774
146.197 145.402 -39.1736
100.903 218.102 0.0
97.4649 218.102 26.1156
87.3846 218.102 50.4515
71.3492 218.102 71.3493
50.4515 218.102 87.3846
26.1156 218.102 97.4649
7.61797e-006 218.102 100.903
-26.1156 218.102 97.4649
-50.4515 218.102 87.3846
-71.3492 218.102 71.3493
-87.3846 218.102 50.4516
-97.4649 218.102 26.1157
-100.903 218.102 3.92931e-005
-97.4649 218.102 -26.1156
-87.3846 218.102 -50.4515
-71.3493 218.102 -71.3492
-50.4516 218.102 -87.3846
-26.1157 218.102 -97.4649
-4.69111e-005 218.102 -100.903
26.1156 218.102 -97.4649
50.4515 218.102 -87.3847
71.3492 218.102 -71.3493
87.3846 218.102 -50.4516
97.4649 218.102 -26.1157
50.4515 290.803 0.0
48.7324 290.803 13.0578
43.6923 290.803 25.2258
35.6746 290.803 35.6746
25.2258 290.803 43.6923
13.0578 290.803 48.7324
3.80898e-006 290.803 50.4515
-13.0578 290.803 48.7324
-25.2258 290.803 43.6923
-35.6746 290.803 35.6746
-43.6923 290.803 25.2258
-48.7324 290.803 13.0578
-50.4515 290.803 1.96466e-005
-48.7324 290.803 -13.0578
-43.6923 290.803 -25.2257
-35.6746 290.803 -35.6746
-25.2258 290.803 -43.6923
-13.0578 290.803 -48.7324
-2.34555e-005 290.803 -50.4515
13.0578 290.803 -48.7324
25.2257 290.803 -43.6923
35.6746 290.803 -35.6746
43.6923 290.803 -25.2258
48.7324 290.803 -13.0579
0.0 363.504 0.0
0.0 363.504 0.0
0.0 363.504 0.0
0.0 363.504 0.0
0.0 363.504 0.0
0.0 363.504 0.0
0.0 363.504 0.0
0.0 363.504 0.0
0.0 363.504 0.0
0.0 363.504 0.0
0.0 363.504 0.0
0.0 363.504 0.0
0.0 363.504 0.0
0.0 363.504 0.0
0.0 363.504 0.0
0.0 363.504 0.0
0.0 363.504 0.0
0.0 363.504 0.0
0.0 363.504 0.0
0.0 363.504 0.0
0.0 363.504 0.0
0.0 363.504 0.0
0.0 363.504 0.0
0.0 363.504 0.0
0.0 363.504 0.0
NORMAL = 146
0.0 -1.0 0.0
0.0 -2.87979 0.0
0.0 -2.87979 0.0
0.0 -2.87979 0.0
0.0 -2.87979 0.0
0.0 -2.87979 0.0
0.0 -2.87979 0.0
0.0 -2.87979 0.0
0.0 -2.87979 0.0
0.0 -2.87979 0.0
0.0 -2.87979 0.0
0.0 -2.87979 0.0
0.0 -2.87979 0.0
